publish_date,ticker,article_sentiment,average_market_sentiment,average_market_percent_change,RatingScore_pct_change,analyst_score_pct_change,target_median_price_pct_change,target_score,Yesterday_Percent_Change,Next_Day_Percent_Change,article_sentiment_class,average_market_sentiment_class
2024-12-18,AAPL,0.3493581313131313,0.18069553738933675,-0.010467461463167899,0.0,0.0,0.0,-1.3728893798327244,-1.65,0.9399999999999998,Neutral,Neutral
2024-12-19,AAPL,0.3344867302040665,0.17910503390628735,-0.020774095839492,0.0,0.0,0.0,-1.3728893798327244,0.9399999999999998,2.57,Neutral,Neutral
2024-12-20,AAPL,0.3597214285714285,0.18146798406231085,-0.0006742623106127,0.0,0.0,0.0,-1.3728893798327244,2.57,2.57,Neutral,Neutral
2024-12-23,AAPL,0.32816730478773914,0.25070001550979415,0.0177050105272122,0.0,0.0,0.0,-1.3728893798327244,0.2,1.11,Neutral,Neutral
2024-12-24,AAPL,0.3123180487070861,0.24584206124075542,0.014819785561153001,0.0,0.0,0.0,-2.459241457113091,1.11,1.06,Neutral,Neutral
2024-12-25,AAPL,0.3294777285214785,0.24637037400611445,0.0149910739731517,0.0,0.0,0.0,-3.1758326878388803,1.06,0.26,Neutral,Neutral
2024-12-26,AAPL,0.33353249369353594,0.25415174977056776,0.0041751651685085,0.0,0.0,0.0,-3.365408780383637,0.26,-0.8999999999999999,Neutral,Neutral
2024-12-27,AAPL,0.3964618076710669,0.23391088086093664,-0.0124750321692228,0.0,0.0,0.0,-3.4823565747818632,-0.8999999999999999,-0.9,Neutral,Neutral
2024-12-30,AAPL,0.33606376025290496,0.2465705465687178,-0.0126530861073158,0.0,0.0,0.0,-3.4823565747818637,-0.01,-0.89,Neutral,Neutral
2024-12-31,AAPL,0.37861539074960127,0.2081253621240901,-0.0094939193595053,0.0,0.0,0.0,-0.6329498969061447,-0.89,-0.8000000000000002,Neutral,Neutral
2025-01-01,AAPL,0.4642819444444444,0.21257079427325487,-0.0105860502682846,0.0,0.0,0.0,-0.1677182333679368,-0.8000000000000002,-2.04,Bullish,Neutral
2025-01-02,AAPL,0.32826863521579425,0.2144802195963087,-0.0024224904331026,0.0,0.0,0.0,-0.1677182333679368,-2.04,0.0,Neutral,Neutral
2025-01-03,AAPL,0.16583194444444446,0.16606643430696685,0.0192485591296205,0.0,0.0,0.0,-0.1677182333679368,0.0,0.0,Neutral,Neutral
2025-01-06,AAPL,0.41271649205136596,0.2025483948663802,0.0221002380160894,0.0,0.0,0.0,-0.1677182333679368,0.27,-0.32,Bullish,Neutral
2025-01-07,AAPL,0.34503139682539685,0.20050733494390188,-0.0183785387937415,0.0,0.0,0.0,2.2115888062258047,-0.32,0.3,Neutral,Neutral
2025-01-08,AAPL,0.3688730744949495,0.1841321140836098,-0.0235059196730587,0.0,0.0,0.0,3.216217332067211,0.3,0.32,Neutral,Neutral
2025-01-09,AAPL,0.3251467592592593,0.18397932140846315,-0.0128208993102184,0.0,0.0,0.0,3.216217332067211,0.32,0.32,Neutral,Neutral
2025-01-13,AAPL,0.2341398124098124,0.22319171892532313,-0.0103390149376735,0.0,0.0,0.0,7.28168523986596,0.39,-0.63,Neutral,Neutral
2025-01-14,AAPL,0.24948529491341992,0.1752274273316473,0.0055300476518219,0.0,0.0,0.0,6.476537320106006,-0.63,1.38,Neutral,Neutral
2025-01-15,AAPL,0.3395966765873016,0.18224788776453,0.0254384463236053,0.0,0.0,0.0,5.107035216743593,1.38,-3.89,Neutral,Neutral
2025-01-16,AAPL,0.31482859547859543,0.18710622464131316,-0.0016432191116749,0.0,0.0,0.0,5.09058808693094,-3.89,-3.89,Neutral,Neutral
2025-01-20,AAPL,0.4425831941867656,0.22293296736858914,0.0162671252328616,0.0,0.0,0.0,8.705104791721025,-0.92,-0.61,Bullish,Neutral
2025-01-21,AAPL,0.2784088443963444,0.20520699870966036,0.0069182672343297,0.0,-0.79,0.0,12.170955937955952,-0.61,1.77,Neutral,Neutral
2025-01-22,AAPL,0.3078687476618032,0.20604826087762684,0.0165398473800671,0.0,0.0,0.0,12.359530713918495,1.77,-0.48,Neutral,Neutral
2024-12-18,ACHR,0.250975,0.18069553738933675,-0.0104674614631679,0.0,0.0,0.0,24.013528748590765,-3.56,-7.88,Neutral,Neutral
2024-12-19,ACHR,0.20800164141414137,0.17910503390628735,-0.020774095839492,0.0,0.0,0.0,24.013528748590765,-7.88,-7.88,Neutral,Neutral
2024-12-24,ACHR,0.25424814814814817,0.24194834075796107,0.014819785561153,0.0,0.0,0.0,9.239077484098152,13.68,13.68,Neutral,Neutral
2024-12-25,ACHR,0.0,0.24637037400611445,0.0149910739731517,0.0,0.0,0.0,1.8518518518518448,13.68,1.89,Neutral,Neutral
2024-12-26,ACHR,0.41525,0.25415174977056776,0.0041751651685085,0.0,0.0,0.0,0.1365498406918577,1.89,-5.27,Bullish,Neutral
2024-12-30,ACHR,0.249175,0.2357210441735499,-0.0126530861073158,0.0,0.0,0.0,0.1365498406918577,-5.27,-3.27,Neutral,Neutral
2024-12-31,ACHR,0.4894863636363636,0.2081253621240901,-0.0094939193595053,0.0,0.0,0.0,8.695652173913052,-3.27,-1.29,Bullish,Neutral
2025-01-06,ACHR,0.008050000000000002,0.19775879916242228,0.0221002380160894,0.0,0.0,0.0,8.695652173913052,-1.29,-2.88,Neutral,Neutral
2025-01-07,ACHR,0.14744583333333333,0.20050733494390188,-0.0183785387937415,0.0,0.0,0.0,-1.161798136450636,-2.88,-3.52,Neutral,Neutral
2025-01-13,ACHR,0.12193703703703707,0.18870509153780424,-0.0103390149376735,0.0,-6.669999999999999,9.09,44.58584621723424,-3.52,1.27,Neutral,Neutral
2025-01-15,ACHR,0.45472222222222225,0.1814717980266226,0.0254384463236053,0.0,0.0,0.0,39.79146163918959,1.27,3.3,Bullish,Neutral
2024-12-18,AMD,0.21648594005531505,0.18069553738933675,-0.0104674614631679,0.0,0.0,0.0,45.57670772676372,-3.11,-2.69,Neutral,Neutral
2024-12-19,AMD,0.2264093848765125,0.17910503390628735,-0.020774095839492,0.0,0.0,0.0,45.57670772676372,-2.69,1.04,Neutral,Neutral
2024-12-20,AMD,0.3892074855699856,0.18146798406231085,-0.0006742623106127001,0.0,0.0,0.0,45.57670772676372,1.04,1.04,Neutral,Neutral
2024-12-23,AMD,0.22623807960063105,0.25070001550979415,0.0177050105272122,0.0,0.0,0.0,45.57670772676372,3.148024691358025,-0.88,Neutral,Neutral
2024-12-24,AMD,0.18640412982813773,0.24584206124075544,0.014819785561153,0.0,0.07,0.0,44.44818667982846,-0.88,-0.9600000000000001,Neutral,Neutral
2024-12-25,AMD,0.2529494142260346,0.24637037400611445,0.0149910739731517,0.0,0.0,0.0,44.11275635442236,-0.9600000000000001,-0.5,Neutral,Neutral
2024-12-26,AMD,0.18397737938828845,0.25415174977056776,0.0041751651685085,0.0,0.0,0.0,45.08036755124182,-0.5,0.7,Neutral,Neutral
2024-12-27,AMD,0.13585250305250304,0.23391088086093664,-0.0124750321692228,0.0,0.0,0.0,45.53014553014553,0.7,0.7,Neutral,Neutral
2024-12-30,AMD,0.26147676307017104,0.2465705465687178,-0.0126530861073158,0.0,0.0,0.0,45.530145530145525,-0.91,-1.89,Neutral,Neutral
