publish_date,ticker,article_sentiment,average_market_sentiment,average_market_percent_change,RatingScore_pct_change,analyst_score_pct_change,target_median_price_pct_change,target_score,Yesterday_Percent_Change,Next_Day_Percent_Change,article_sentiment_class,average_market_sentiment_class
2024-12-11,AAPL,0.34944439033189034,,0.0189320473811481,,,,,-0.59,0.41,Neutral,Bearish
2024-12-12,AAPL,0.3894470940985822,0.24994048657494605,-0.0018045275794626998,0.0,,,,0.41,0.1,Neutral,Neutral
2024-12-13,AAPL,0.21621175723282202,0.23223139006472132,0.0315663928399389,0.0,,,,0.1,0.1,Neutral,Neutral
2024-12-15,AAPL,0.2792447668650794,0.22908463284650576,,0.0,,,,0.1,1.23,Neutral,Neutral
2024-12-16,AAPL,0.24628173358072267,0.22783247980388266,0.011963430164461598,0.0,,,,1.23,1.34,Neutral,Neutral
2024-12-17,AAPL,0.14008517075517074,0.20355994008951933,-0.0052532979039832,0.0,,,-1.3728893798327244,1.34,-1.65,Neutral,Neutral
2024-12-18,AAPL,0.37815002295684114,0.17986257888642448,-0.015814118169871,0.0,0.0,0.0,-1.3728893798327244,-1.65,0.94,Neutral,Neutral
2024-12-19,AAPL,0.324048655791672,0.19318427002285335,-0.0279244836636686,0.0,0.0,0.0,-1.3728893798327244,0.94,2.57,Neutral,Neutral
2024-12-20,AAPL,0.2784928571428571,0.1993963168050451,-0.0006742623106127,0.0,0.0,0.0,-1.3728893798327244,2.57,2.57,Neutral,Neutral
2024-12-22,AAPL,0.3062015046296296,0.22135236869060193,,0.0,0.0,0.0,-1.3728893798327244,2.57,0.19999999999999998,Neutral,Neutral
2024-12-23,AAPL,0.32390866083564723,0.24894639044724695,0.0185477476293828,0.0,0.0,0.0,-1.3728893798327244,0.19999999999999998,1.11,Neutral,Neutral
2024-12-24,AAPL,0.314939807758816,0.2440603883017684,0.014819785561153,0.0,0.0,0.0,-2.4921612170306777,1.11,1.06,Neutral,Neutral
2024-12-25,AAPL,0.03270678436147187,0.24148621448363589,0.0129761562552765,0.0,0.0,0.0,-3.1758326878388803,1.06,0.26,Neutral,Neutral
2024-12-26,AAPL,0.3793771403659181,0.27469236313293593,0.0065961535871062,0.0,0.0,0.0,-3.3395356386892106,0.26,-0.8999999999999999,Neutral,Neutral
2024-12-27,AAPL,0.3964618076710669,0.2759985286871322,-0.0124750321692228,0.0,0.0,0.0,-3.4823565747818632,-0.8999999999999999,-0.9,Neutral,Neutral
2024-12-29,AAPL,0.49570887445887446,0.2614513060738932,,0.0,0.0,0.0,-3.4823565747818632,-0.9,-0.01,Bullish,Neutral
2024-12-30,AAPL,0.3165282525510204,0.24764557831868905,-0.0119543892514454,0.0,0.0,0.0,-3.4823565747818632,-0.01,-0.89,Neutral,Neutral
2024-12-31,AAPL,0.38880353535353535,0.20664126526572696,-0.0101564092002462,0.0,0.0,0.0,-0.6665069983154485,-0.89,-0.8,Neutral,Neutral
2025-01-01,AAPL,0.37065,0.18264128433575655,-0.0095293281977012,0.0,0.0,0.0,-0.1677182333679368,-0.8,-2.04,Neutral,Neutral
2025-01-02,AAPL,0.8406166666666667,0.21351521432739395,-0.0064892569624833,0.0,0.0,0.0,-0.1677182333679368,-2.04,0.0,Bullish,Neutral
2025-01-03,AAPL,0.33108125,0.273715014641459,0.0192485591296205,0.0,0.0,0.0,-0.1677182333679368,0.0,0.0,Neutral,Neutral
2025-01-05,AAPL,0.446291972101972,0.25018980896211385,,0.0,0.0,0.0,-0.1677182333679368,0.0,0.27,Bullish,Neutral
2025-01-06,AAPL,0.41271649205136596,0.2025483948663802,0.0221002380160894,0.0,0.0,0.0,-0.1677182333679368,0.27,-0.32,Bullish,Neutral
2025-01-07,AAPL,0.3138337341670675,0.19405426126522585,-0.0187327601801066,0.0,0.0,0.0,1.8278650967357781,-0.32,0.3,Neutral,Neutral
2025-01-08,AAPL,0.3083666666666667,0.16747027661557534,-0.0180455688098005,0.0,0.0,0.0,3.216217332067211,0.3,0.32,Neutral,Neutral
2025-01-09,AAPL,0.13390000000000002,0.19071427124319207,-0.0308004912370782,0.0,0.0,0.0,3.216217332067211,0.32,0.32,Neutral,Neutral
2025-01-12,AAPL,0.4269948717948718,0.25423639381832813,,0.0,0.0,0.0,3.2162173320672105,0.32,0.39,Bullish,Neutral
2025-01-13,AAPL,0.2341398124098124,0.22319171892532313,-0.0103390149376735,0.0,0.0,0.0,7.28168523986596,0.39,-0.63,Neutral,Neutral
2025-01-14,AAPL,0.11149570707070706,0.17053678110015075,0.0029832822112098,0.0,0.0,0.0,6.694664317330827,-0.63,1.38,Neutral,Neutral
2025-01-15,AAPL,0.037937500000000006,0.18675533507439285,0.0267015595290222,0.0,0.0,0.0,5.277196607029777,1.38,1.38,Neutral,Neutral
2025-01-19,AAPL,0.38433950617283946,0.22728933850245825,,0.0,-0.20000000000000004,0.0,5.26759021432481,1.38,-0.9200000000000002,Neutral,Neutral
2025-01-20,AAPL,0.34238337662337665,0.20902464708031734,0.0161447326564081,0.0,0.0,0.0,8.705104791721025,-0.9200000000000002,-0.61,Neutral,Neutral
2025-01-21,AAPL,0.29833333333333334,0.18012387570653665,0.0092275252387577,0.0,-0.79,0.0,10.8752745301585,-0.61,1.77,Neutral,Neutral
2025-01-22,AAPL,0.3535791666666667,0.15274587153409266,0.029179122257965,0.0,0.0,0.0,12.873449058675316,1.77,,Neutral,Neutral
2024-12-11,ACHR,0.21075,,0.0189320473811481,,,,,-2.76,2.43,Neutral,Bearish
2024-12-12,ACHR,0.5055363636363636,0.24994048657494605,-0.0018045275794627,0.0,,,,2.43,11.87,Bullish,Neutral
2024-12-13,ACHR,0.4787,0.23223139006472132,0.0315663928399389,0.0,,,,11.87,11.87,Bullish,Neutral
2024-12-15,ACHR,0.428975,0.22908463284650576,,0.0,,,,11.87,11.87,Bullish,Neutral
2024-12-16,ACHR,0.39375625000000003,0.22783247980388266,0.0119634301644616,0.0,,,,11.87,-3.56,Neutral,Neutral
2024-12-18,ACHR,0.3313,0.20717170999291545,-0.015814118169871,0.0,,,,-3.56,-7.88,Neutral,Neutral
