ticker,title,summary,publisher,link,publish_date,type,related_tickers,source,overall_sentiment_score,overall_sentiment_label
"NYT, META, ACHC","Faruqi & Faruqi Reminds Agenus Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of the December 16, 2024 - ACHC - Acadia Healthcare Co  ( NASDAQ:ACHC ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $100,000 In Acadia Healthcare To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42142078/faruqi-faruqi-reminds-agenus-investors-of-the-pending-class-action-lawsuit-with-a-lead-plaintiff-d,11/22/2024 16:18,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]","NYT, META, ACHC",Alpha,0.079778,Neutral
"NYT, META, ACHC","Faruqi & Faruqi Reminds Acadia Healthcare Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of December 16, 2024 - ACHC - Acadia Healthcare Co  ( NASDAQ:ACHC ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $100,000 In Acadia Healthcare To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42142079/faruqi-faruqi-reminds-acadia-healthcare-investors-of-the-pending-class-action-lawsuit-with-a-lead-,11/22/2024 16:18,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]","NYT, META, ACHC",Alpha,0.079778,Neutral
VKTX,How Is The Market Feeling About Viking Therapeutics? - Viking Therapeutics  ( NASDAQ:VKTX ) ,"Viking Therapeutics's VKTX short percent of float has fallen 7.72% since its last report. The company recently reported that it has 13.28 million shares sold short, which is 16.01% of all regular shares that are available for trading.",Benzinga,https://www.benzinga.com/insights/short-sellers/24/11/42141966/how-is-the-market-feeling-about-viking-therapeutics,11/22/2024 16:15,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",VKTX,Alpha,0.266742,Somewhat-Bullish
"GOOG, AMZN",Amazon Strengthens Anthropic Partnership with $8 Billion AI Investment - Amazon.com  ( NASDAQ:AMZN ) ,"On Friday, Amazon.Com Inc AMZN and Anthropic announced an expansion of their strategic partnership, strengthening their collaboration on artificial intelligence advancements. Anthropic raised an additional $4 billion from Amazon.",Benzinga,https://www.benzinga.com/24/11/42141911/amazon-and-anthropic-deepen-4-billion-ai-partnership-with-claude-35-launch,11/22/2024 16:13,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]","GOOG, AMZN",Alpha,0.277355,Somewhat-Bullish
FGPR,Ferrellgas Donation Provides Clean-Burning Propane Stoves to Schools in South Africa - Ferrellgas Partners  ( OTC:FGPR ) ,"LIBERTY, Mo., Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Ferrellgas Partners, L.P. FGPR announced today it has made a generous donation to South Africa's Peninsula School Feeding Association ( PSFA ) to help dozens of schools on their nutrition support program obtain Gas Compliance Certificates for ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42141634/ferrellgas-donation-provides-clean-burning-propane-stoves-to-schools-in-south-africa,11/22/2024 16:03,"[{'topic': 'Financial Markets', 'relevance_score': '0.538269'}]",FGPR,Alpha,0.259264,Somewhat-Bullish
RCAT,How Is The Market Feeling About Red Cat Hldgs? - Red Cat Hldgs  ( NASDAQ:RCAT ) ,"Red Cat Hldgs's RCAT short percent of float has risen 9.92% since its last report. The company recently reported that it has 5.12 million shares sold short, which is 8.2% of all regular shares that are available for trading.",Benzinga,https://www.benzinga.com/insights/short-sellers/24/11/42141498/how-is-the-market-feeling-about-red-cat-hldgs,11/22/2024 16:00,"[{'topic': 'Energy & Transportation', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",RCAT,Alpha,0.292152,Somewhat-Bullish
DECK,Looking Into Deckers Outdoor's Recent Short Interest - Deckers Outdoor  ( NYSE:DECK ) ,"Deckers Outdoor's DECK short percent of float has fallen 9.66% since its last report. The company recently reported that it has 4.20 million shares sold short, which is 4.58% of all regular shares that are available for trading.",Benzinga,https://www.benzinga.com/insights/short-sellers/24/11/42141494/looking-into-deckers-outdoors-recent-short-interest,11/22/2024 16:00,"[{'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",DECK,Alpha,0.262256,Somewhat-Bullish
RDNT,"RadNet Secures Commitments to Amend its Credit Facility, Resulting in 0.25% Reduction in Interest Rates","LOS ANGELES, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- RadNet, Inc. ( NASDAQ: RDNT ) , a national leader in providing high-quality, cost-effective, fixed-site outpatient diagnostic imaging services, today announced that it has completed pricing and allocations for Amendment No. 1 to Credit and ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986090/10985/en/RadNet-Secures-Commitments-to-Amend-its-Credit-Facility-Resulting-in-0-25-Reduction-in-Interest-Rates.html,11/22/2024 16:00,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Earnings', 'relevance_score': '0.967645'}]",RDNT,Alpha,0.277984,Somewhat-Bullish
GAP,"The Gap Gaps Higher, Will Likely Run Into Resistance At This Level - Gap  ( NYSE:GAP ) ","Shares of The Gap, Inc. GAP are blasting off on Friday. The company reported earnings of 72 cents a share. This was ahead of estimates of 58 cents. Some traders are curious as to whether or not a new trading range will form. They will be focused on two important price levels.",Benzinga,https://www.benzinga.com/trading-ideas/technicals/24/11/42141441/stock-of-the-day-the-gap-gaps-higher-will-likely-run-into-resistance-at-this-level,11/22/2024 15:59,"[{'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",GAP,Alpha,0.179573,Somewhat-Bullish
"NGVC, NVTS, CRS, SMCI, REPL, PSNY, OMER, PTGX, SOUN, MATW, QBTS, GAP, VSAT, WOLF, ESTC","Natural Grocers By Vitamin Cottage, Elastic, Matthews International, Gap And Other Big Stocks Moving Higher On Friday - Atkore  ( NYSE:ATKR ) , Carpenter Tech  ( NYSE:CRS ) ","U.S. stocks were mixed, with the Dow Jones index gaining more than 150 points on Friday. Shares of Natural Grocers by Vitamin Cottage, Inc. NGVC rose sharply during Friday's session following quarterly results.",Benzinga,https://www.benzinga.com/24/11/42141440/natural-grocers-by-vitamin-cottage-elastic-matthews-international-gap-and-other-big-stocks-moving-higher-on-frida,11/22/2024 15:59,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.938238'}, {'topic': 'Technology', 'relevance_score': '0.25'}]","NGVC, NVTS, CRS, SMCI, REPL, PSNY, OMER, PTGX, SOUN, MATW, QBTS, GAP, VSAT, WOLF, ESTC",Alpha,0.448974,Bullish
ONB,"Old National Bank Earns 2025 Military Friendly® Employer, Supplier, Brand Designations - Old National  ( NASDAQ:ONB ) ","EVANSVILLE, Ind., Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- ONB - Old National Bancorp ( ""Old National"" ) announced today that it has earned the 2025 Military Friendly® Employer designation, evaluated from both public data sources and responses from a proprietary survey.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42141423/old-national-bank-earns-2025-military-friendly-employer-supplier-brand-designations,11/22/2024 15:58,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",ONB,Alpha,0.506285,Bullish
ONB,"Old National Bank Earns 2025 Military Friendly® Employer, Supplier, Brand Designations",Old National announced today that it has earned the 2025 Military Friendly® Employer Gold award ...,GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986087/5764/en/Old-National-Bank-Earns-2025-Military-Friendly-Employer-Supplier-Brand-Designations.html,11/22/2024 15:58,"[{'topic': 'Finance', 'relevance_score': '1.0'}]",ONB,Alpha,0.498656,Bullish
"PFE, BRK-A",Pfizer Stock Drops 10% In November On News Of Kennedy's HHS Nomination - Pfizer  ( NYSE:PFE ) ,Pfizer Inc PFE shares are trading lower by 10% to $25.13 in November and are near decade-lows after President-elect Donald Trump last week announced his intention to nominate Robert F. Kennedy Jr. to lead the Department of Health and Human Services ( HHS ) .,Benzinga,https://www.benzinga.com/news/24/11/42141374/pfizer-stock-drops-10-in-november-on-news-of-kennedys-hhs-nomination,11/22/2024 15:55,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.995077'}]","PFE, BRK-A",Alpha,0.164645,Somewhat-Bullish
"PMNT, CRYPTO:BTC, CRYPTO:USDT",BTCC Launches Thanksgiving Bull Run Feast: Over $1 Million in Rewards for Crypto Traders as Bitcoin Nears $100K,"VILNIUS, Lithuania, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- BTCC Exchange, a global leader in crypto futures trading, is thrilled to unveil its Thanksgiving Bull Run Feast, a limited-time campaign to reward traders during Bitcoin's historic bull run.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42141205/btcc-launches-thanksgiving-bull-run-feast-over-1-million-in-rewards-for-crypto-traders-as-bitcoin-,11/22/2024 15:50,"[{'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}]","PMNT, CRYPTO:BTC, CRYPTO:USDT",Alpha,0.492256,Bullish
WOLF,Why Is Everyone Talking About Wolfspeed Stock?,"In today's video, I will be talking about recent updates regarding Wolfspeed ( NYSE: WOLF ) . Watch the short video to learn more, consider subscribing, and click the special offer link below.*Stock prices used were from the trading day of Nov. 21, 2024. The video was published on Nov. 22, ...",Motley Fool,https://www.fool.com/investing/2024/11/22/why-is-everyone-talking-about-wolfspeed-stock/,11/22/2024 15:49,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",WOLF,Alpha,0.121992,Neutral
"MSFT, META, NVDA","Nvidia 'Bulls And Bears At An Inflection Point,' Expert Says: Will AI Growth Overcome Global Tariff Risks? - NVIDIA  ( NASDAQ:NVDA ) ","Although Nvidia Corp NVDA is up over 190% year-to-date, ""over the last five months the stock has been relatively flat, leaving bulls and bears at an inflection point,"" Direxion's Ed Egilinsky says. This pause in growth signals the stock might be priced to perfection.",Benzinga,https://www.benzinga.com/analyst-ratings/analyst-color/24/11/42141055/nvidia-bulls-and-bears-at-an-inflection-point-expert-says-will-ai-growth-overcome-g,11/22/2024 15:48,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.955357'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]","MSFT, META, NVDA",Alpha,0.263585,Somewhat-Bullish
"META, BMBL","Faruqi & Faruqi Reminds Bumble Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of November 25, 2024 - BMBL - Bumble  ( NASDAQ:BMBL ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In Bumble To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42140956/faruqi-faruqi-reminds-bumble-investors-of-the-pending-class-action-lawsuit-with-a-lead-plaintiff-d,11/22/2024 15:46,"[{'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}]","META, BMBL",Alpha,0.162992,Somewhat-Bullish
NTNX, ( NTNX )  - Analyzing Nutanix's Short Interest - Nutanix  ( NASDAQ:NTNX ) ,"Nutanix's NTNX short percent of float has fallen 11.79% since its last report. The company recently reported that it has 4.65 million shares sold short, which is 2.02% of all regular shares that are available for trading. Based on its trading volume, it would take traders 3.46 days to cover their ...",Benzinga,https://www.benzinga.com/insights/short-sellers/24/11/42140927/ntnx-analyzing-nutanixs-short-interest,11/22/2024 15:45,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",NTNX,Alpha,0.264538,Somewhat-Bullish
CSWI, ( CSWI )  - Analyzing CSW Industrials's Short Interest - CSW Industrials  ( NASDAQ:CSWI ) ,"CSW Industrials's CSWI short percent of float has fallen 20.0% since its last report. The company recently reported that it has 397 thousand shares sold short, which is 2.4% of all regular shares that are available for trading.",Benzinga,https://www.benzinga.com/insights/short-sellers/24/11/42140925/cswi-analyzing-csw-industrialss-short-interest,11/22/2024 15:45,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",CSWI,Alpha,0.262256,Somewhat-Bullish
FIX, ( FIX )  - Analyzing Comfort Systems USA's Short Interest - Comfort Systems USA  ( NYSE:FIX ) ,"Comfort Systems USA's FIX short percent of float has risen 40.65% since its last report. The company recently reported that it has 536 thousand shares sold short, which is 2.18% of all regular shares that are available for trading.",Benzinga,https://www.benzinga.com/insights/short-sellers/24/11/42140922/fix-analyzing-comfort-systems-usas-short-interest,11/22/2024 15:45,"[{'topic': 'Real Estate & Construction', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",FIX,Alpha,0.311954,Somewhat-Bullish
"MA, MDNDF, FUJHF",Interpublic Named Most Awarded Holding Company at ANA Multicultural Excellence Awards,Interpublic Secures 18 Wins Across Categories ...,GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986081/0/en/Interpublic-Named-Most-Awarded-Holding-Company-at-ANA-Multicultural-Excellence-Awards.html,11/22/2024 15:45,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}]","MA, MDNDF, FUJHF",Alpha,0.543752,Bullish
BAC,S&P 500 Faces Volatile 2025 As 'Inflation Boom' Could Return: Bank Of America Strategist - SPDR S&P 500  ( ARCA:SPY ) ,"The S&P 500 index is wrapping up a historic two-year run of consecutive over 20% gains, a feat achieved only four times in the past 150 years. Yet, Michael Hartnett, chief investment strategist at Bank of America, says the party may not last forever.",Benzinga,https://www.benzinga.com/analyst-ratings/analyst-color/24/11/42140842/sp-500-faces-volatile-2025-as-inflation-boom-could-return-bank-of-america-strategis,11/22/2024 15:43,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.997405'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '1.0'}]",BAC,Alpha,0.08921,Neutral
