ticker,title,summary,publisher,link,publish_date,type,related_tickers,source,overall_sentiment_score,overall_sentiment_label
SZCRF,SCOR announces the availability to the public of the Offer Document and the Other Information Document regarding its tender offer on MRM,Press ...,GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986072/0/en/SCOR-announces-the-availability-to-the-public-of-the-Offer-Document-and-the-Other-Information-Document-regarding-its-tender-offer-on-MRM.html,11/22/2024 15:27,"[{'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}]",SZCRF,Alpha,0.332915,Somewhat-Bullish
"DEVS, SKK, APTO, AMIX, GAP, CETX, REPL, SPGI","Dow Jumps 300 Points; Gap Posts Upbeat Earnings - Aptose Biosciences  ( NASDAQ:APTO ) , Autonomix Medical  ( NASDAQ:AMIX ) ","U.S. stocks traded higher this morning, with the Dow Jones index gaining by more than 300 points on Friday. Following the market opening Friday, the Dow traded up 0.72% to 44,184.62 while the NASDAQ rose 0.07% to 18,985.33. The S&P 500 also rose, gaining, 0.35% to 5,969.29.",Benzinga,https://www.benzinga.com/24/11/42140418/dow-jumps-300-points-gap-posts-upbeat-earnings,11/22/2024 15:23,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'IPO', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Earnings', 'relevance_score': '0.682689'}]","DEVS, SKK, APTO, AMIX, GAP, CETX, REPL, SPGI",Alpha,0.190418,Somewhat-Bullish
"CVS, WMT","With Musk And Ramaswamy Preparing To Slash Entire Government Agencies, Here's Which Departments Employ The Most Americans And Their Salaries",Elon Musk and Vivek Ramaswamy have been appointed to lead a new government-efficiency commission created by Donald Trump. The stated goal is to cut government spending and one approach being considered involves reducing or eliminating certain federal agencies.,Benzinga,https://www.benzinga.com/24/11/42140065/with-musk-and-ramaswamy-preparing-to-slash-entire-government-agencies-heres-which-departments-employ-the-most-ame,11/22/2024 15:15,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}]","CVS, WMT",Alpha,0.265765,Somewhat-Bullish
"T, SATS",EchoStar Shares Sink As DirecTV Terminates Acquisition Agreement - EchoStar  ( NASDAQ:SATS ) ,"DIRECTV announced Friday it would terminate its agreement to acquire EchoStar Corp's SATS video distribution business, DISH DBS. The decision follows DISH DBS noteholders' refusal to accept EchoStar's proposed Exchange Debt Offer Terms, a critical condition for the deal to proceed.",Benzinga,https://www.benzinga.com/news/24/11/42139806/echostar-shares-sink-as-directv-terminates-acquisition-agreement,11/22/2024 15:09,"[{'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '0.5'}]","T, SATS",Alpha,0.093858,Neutral
MDNDF,"Simons and Rodeo FX Unveil La Forêt des Merveilles, a Magical Holiday Experience in Old Quebec","QUEBEC CITY, Nov. 22, 2024 /CNW/ - Simons is proud to announce an enchanting holiday experience that will transform its headquarters into a magical spectacle, designed and produced by Rodeo FX. This unique immersive show promises to captivate audiences of all ages from November 21 to December 31.",Benzinga,https://www.benzinga.com/pressreleases/24/11/n42139784/simons-and-rodeo-fx-unveil-la-for-t-des-merveilles-a-magical-holiday-experience-in-old-quebec,11/22/2024 15:08,"[{'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",MDNDF,Alpha,0.539352,Bullish
"META, AILE","Faruqi & Faruqi Reminds iLearningEngines Investors of the Pending Class Action Lawsuit with a Lead Plaintiff Deadline of December 6, 2024 - AILE - iLearningEngines  ( NASDAQ:AILE ) ","Faruqi & Faruqi, LLP Securities Litigation Partner James ( Josh ) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In iLearningEngines To Contact Him Directly To Discuss Their Options",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42139742/faruqi-faruqi-reminds-ilearningengines-investors-of-the-pending-class-action-lawsuit-with-a-lead-p,11/22/2024 15:07,"[{'topic': 'Earnings', 'relevance_score': '0.980922'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]","META, AILE",Alpha,0.173969,Somewhat-Bullish
CPRX,Catalyst Pharmaceuticals Insider Trades Send A Signal - Catalyst Pharmaceuticals  ( NASDAQ:CPRX ) ,"Disclosed on November 21, Patrick J McEnany, Director at Catalyst Pharmaceuticals CPRX, executed a substantial insider sell as per the latest SEC filing. What Happened: According to a Form 4 filing with the U.S. Securities and Exchange Commission on Thursday, McEnany sold 170,845 shares of ...",Benzinga,https://www.benzinga.com/insights/news/24/11/42139653/catalyst-pharmaceuticals-insider-trades-send-a-signal,11/22/2024 15:02,"[{'topic': 'Earnings', 'relevance_score': '0.993856'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999186'}]",CPRX,Alpha,0.271954,Somewhat-Bullish
BLKB,Michael Gianoni Executes Sell Order: Offloads $2.37M In Blackbaud Stock - Blackbaud  ( NASDAQ:BLKB ) ,"Revealing a significant insider sell on November 21, Michael Gianoni, President and CEO at Blackbaud BLKB, as per the latest SEC filing. What Happened: A Form 4 filing with the U.S. Securities and Exchange Commission on Thursday outlined that Gianoni executed a sale of 28,571 shares of Blackbaud ...",Benzinga,https://www.benzinga.com/insights/news/24/11/42139650/michael-gianoni-executes-sell-order-offloads-2-37m-in-blackbaud-stock,11/22/2024 15:02,"[{'topic': 'Financial Markets', 'relevance_score': '0.995077'}, {'topic': 'Earnings', 'relevance_score': '0.996718'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",BLKB,Alpha,0.210699,Somewhat-Bullish
UAN,Noteworthy Insider Activity: CARL ICAHN Invests $1.37M In CVR Partners Stock - CVR Partners  ( NYSE:UAN ) ,"On November 21, a substantial insider purchase was made by CARL ICAHN, 10% Owner at CVR Partners UAN, as per the latest SEC filing. What Happened: A Form 4 filing from the U.S. Securities and Exchange Commission on Thursday showed that ICAHN purchased 19,174 shares of CVR Partners.",Benzinga,https://www.benzinga.com/insights/news/24/11/42139640/noteworthy-insider-activity-carl-icahn-invests-1-37m-in-cvr-partners-stock,11/22/2024 15:01,"[{'topic': 'Earnings', 'relevance_score': '0.988915'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.995077'}]",UAN,Alpha,0.188741,Somewhat-Bullish
"BKNG, C",A Closer Look at Booking Holdings's Options Market Dynamics - Booking Holdings  ( NASDAQ:BKNG ) ,"Whales with a lot of money to spend have taken a noticeably bearish stance on Booking Holdings. Looking at options history for Booking Holdings BKNG we detected 31 trades. If we consider the specifics of each trade, it is accurate to state that 29% of the investors opened trades with bullish ...",Benzinga,https://www.benzinga.com/insights/options/24/11/42139597/a-closer-look-at-booking-holdingss-options-market-dynamics,11/22/2024 15:01,"[{'topic': 'Financial Markets', 'relevance_score': '0.980922'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]","BKNG, C",Alpha,0.149942,Neutral
