Date,Ticker,Close,Volume,High,Low,Open
2024-12-05,AAPL,,,,,
2024-12-05,GOOGL,,,,,
2024-12-05,MSFT,,,,,
2024-12-05,ASTS,,,,,
2024-12-05,PTON,,,,,
2024-12-05,GSAT,,,,,
2024-12-05,PLTR,,,,,
2024-12-05,SMR,,,,,
2024-12-05,ACHR,,,,,
2024-12-05,BWXT,,,,,
2024-12-05,ARBK,,,,,
2024-12-05,AMD,,,,,
2024-12-05,NVDA,,,,,
2024-12-05,GME,,,,,
2024-12-05,MU,,,,,
2024-12-05,TSLA,,,,,
2024-12-05,NFLX,,,,,
2024-12-05,ZG,,,,,
2024-12-05,AVGO,,,,,
2024-12-05,SMCI,,,,,
2024-12-05,GLW,,,,,
2024-12-05,HAL,,,,,
2024-12-05,LMT,,,,,
2024-12-05,AMZN,,,,,
2024-12-05,CRM,,,,,
2024-12-05,NOW,,,,,
2024-12-05,CHTR,,,,,
2024-12-05,TDS,,,,,
2024-12-05,META,,,,,
