Symbol,Date,Overall Rating,Recommendation,Rating Score,DCF Score,DCF Recommendation,ROE Score,ROE Recommendation,ROA Score,ROA Recommendation,PE Score,PE Recommendation,PB Score,PB Recommendation
AAPL,2024-12-10,B,Neutral,3,4,Buy,5,Strong Buy,5,Strong Buy,1,Strong Sell,1,Strong Sell
GOOGL,2024-12-10,A-,Buy,4,4,Buy,5,Strong Buy,5,Strong Buy,2,Sell,1,Strong Sell
MSFT,2024-12-10,A-,Buy,4,4,Buy,5,Strong Buy,5,Strong Buy,2,Sell,1,Strong Sell
ASTS,2024-12-10,C-,Strong Sell,1,3,Neutral,1,Strong Sell,1,Strong Sell,1,Strong Sell,1,Strong Sell
PTON,2024-12-10,C,Sell,2,4,Buy,2,Sell,1,Strong Sell,1,Strong Sell,1,Strong Sell
GSAT,2024-12-10,B-,Sell,2,3,Neutral,3,Neutral,4,Buy,1,Strong Sell,1,Strong Sell
PLTR,2024-12-10,B+,Neutral,3,3,Neutral,4,Buy,5,Strong Buy,1,Strong Sell,1,Strong Sell
SMR,2024-12-10,D+,Strong Sell,1,1,Strong Sell,1,Strong Sell,1,Strong Sell,1,Strong Sell,1,Strong Sell
ACHR,2024-12-10,C+,Sell,2,3,Neutral,1,Strong Sell,1,Strong Sell,1,Strong Sell,2,Sell
BWXT,2024-12-10,B,Neutral,3,3,Neutral,5,Strong Buy,5,Strong Buy,1,Strong Sell,1,Strong Sell
ARBK,2024-12-10,C,Sell,2,1,Strong Sell,5,Strong Buy,1,Strong Sell,1,Strong Sell,1,Strong Sell
AMD,2024-12-10,B,Neutral,3,3,Neutral,3,Neutral,4,Buy,1,Strong Sell,2,Sell
NVDA,2024-12-10,B+,Neutral,3,3,Neutral,5,Strong Buy,5,Strong Buy,1,Strong Sell,1,Strong Sell
GME,2024-12-10,C+,Sell,2,1,Strong Sell,2,Sell,2,Sell,1,Strong Sell,2,Sell
MU,2024-12-10,B-,Neutral,3,1,Strong Sell,3,Neutral,4,Buy,2,Sell,3,Neutral
TSLA,2024-12-10,B,Neutral,3,3,Neutral,4,Buy,4,Buy,1,Strong Sell,1,Strong Sell
NFLX,2024-12-10,B,Neutral,3,3,Neutral,5,Strong Buy,5,Strong Buy,1,Strong Sell,1,Strong Sell
ZG,2024-12-10,C,Sell,2,3,Neutral,1,Strong Sell,1,Strong Sell,1,Strong Sell,2,Sell
AVGO,2024-12-10,C-,Strong Sell,1,4,Buy,1,Strong Sell,1,Strong Sell,1,Strong Sell,1,Strong Sell
SMCI,2024-12-10,B+,Neutral,3,4,Buy,5,Strong Buy,5,Strong Buy,2,Sell,1,Strong Sell
GLW,2024-12-10,C-,Strong Sell,1,3,Neutral,1,Strong Sell,1,Strong Sell,1,Strong Sell,2,Sell
HAL,2024-12-10,B+,Neutral,3,3,Neutral,5,Strong Buy,5,Strong Buy,2,Sell,1,Strong Sell
LMT,2024-12-10,B+,Neutral,3,4,Buy,5,Strong Buy,5,Strong Buy,2,Sell,1,Strong Sell
AMZN,2024-12-10,B+,Neutral,3,3,Neutral,5,Strong Buy,5,Strong Buy,1,Strong Sell,1,Strong Sell
CRM,2024-12-10,A-,Buy,4,4,Buy,5,Strong Buy,5,Strong Buy,2,Sell,1,Strong Sell
NOW,2024-12-10,B+,Neutral,3,4,Buy,4,Buy,5,Strong Buy,1,Strong Sell,1,Strong Sell
CHTR,2024-12-10,B+,Neutral,3,4,Buy,5,Strong Buy,4,Buy,3,Neutral,2,Sell
TDS,2024-12-10,C,Sell,2,1,Strong Sell,1,Strong Sell,1,Strong Sell,1,Strong Sell,4,Buy
META,2024-12-10,B+,Neutral,3,3,Neutral,5,Strong Buy,5,Strong Buy,2,Sell,1,Strong Sell
